state_data,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,pAVG,pSTD
lie,8,8,8,8,633,444,505,8,768,744,390,9,294.4,317.5
lie,9,9,9,9,634,447,504,9,768,744,391,9,295.2,317.2
lie,0,0,0,0,630,437,498,0,765,741,384,0,287.9,319.5
lie,3,3,4,5,632,441,499,4,766,742,388,4,290.9,318.4
lie,8,9,8,8,630,535,648,8,768,733,388,8,312.6,331.5
lie,9,8,9,8,630,512,506,9,769,744,381,9,299.5,320.4
lie,0,0,0,0,625,503,492,0,766,742,375,0,291.9,322.1
lie,4,3,3,4,628,508,497,4,768,742,377,5,295.3,321.4
lie,8,9,9,8,631,512,498,8,769,745,379,8,298.7,320.3
lie,9,9,9,9,631,509,494,9,770,744,381,8,298.5,319.7
lie,0,0,0,0,627,506,490,0,768,742,376,0,292.4,322.6
lie,6,3,2,4,636,516,513,5,786,746,367,4,299.0,326.2
lie,8,8,8,8,618,523,609,9,769,751,406,8,310.4,329.0
lie,8,9,9,8,609,497,689,9,769,752,502,9,322.5,337.6
lie,0,0,0,0,603,503,716,0,712,724,399,0,304.8,331.0
lie,4,3,3,4,600,449,741,4,465,688,480,4,287.1,307.7
lie,8,8,8,8,616,543,714,8,119,690,536,8,272.2,312.3
lie,8,9,9,9,292,515,851,224,9,398,606,9,244.9,290.9
lie,0,0,0,0,147,333,848,416,0,174,618,0,211.3,286.2
lie,4,3,3,4,4,340,842,391,4,232,626,4,204.8,289.2
lie,8,8,8,8,8,355,820,456,8,257,633,218,232.3,281.8
lie,8,8,9,9,9,356,799,506,8,240,639,551,261.8,296.7
lie,0,0,0,0,0,352,762,613,0,14,653,686,256.7,328.5
lie,5,3,3,4,4,229,771,644,4,6,669,495,236.4,313.9
lie,8,8,8,8,8,47,753,669,8,8,673,654,237.7,333.0
lie,8,9,9,9,9,49,774,697,9,9,673,690,245.4,343.0
lie,0,0,0,0,0,177,754,695,0,0,670,725,251.8,343.4
lie,4,6,3,1,5,226,715,665,5,5,659,740,252.8,333.0
lie,8,8,8,8,8,387,712,675,8,8,658,757,270.4,335.9
lie,9,9,9,9,9,394,708,685,9,8,656,780,273.8,339.2
lie,0,0,0,0,0,51,685,688,0,0,654,795,239.4,346.0
lie,4,5,3,2,5,4,528,747,5,4,650,809,230.5,340.6
lie,8,8,8,8,8,8,550,748,8,8,655,808,235.4,341.0
lie,8,9,9,9,8,9,558,711,9,9,673,810,235.2,338.8
lie,0,0,0,0,0,370,537,671,0,0,667,785,252.5,326.4
lie,4,3,3,4,4,459,533,695,4,4,664,785,263.5,330.5
lie,8,8,8,8,8,477,539,703,8,8,670,786,269.3,331.6
lie,8,9,9,8,9,426,549,698,9,8,670,789,266.0,329.3
lie,0,0,0,0,0,387,552,703,0,0,667,787,258.0,332.2
lie,4,5,3,3,4,423,564,707,4,4,670,788,264.9,333.7
lie,8,8,8,8,8,420,568,701,8,8,673,790,267.3,331.7
lie,9,10,9,9,9,439,568,698,9,9,674,788,269.3,331.4
lie,0,0,0,0,0,465,565,702,0,0,668,782,265.2,336.1
lie,4,4,3,3,3,462,571,700,4,4,670,785,267.8,335.0
lie,8,8,8,8,8,435,574,703,8,8,672,788,269.0,332.7
lie,8,9,9,9,9,442,577,711,8,9,673,787,270.9,333.8
lie,0,0,0,0,0,430,574,702,0,0,670,785,263.4,335.7
lie,4,6,3,2,4,445,577,700,5,5,671,785,267.3,334.5
lie,9,8,8,9,8,473,579,705,8,9,673,784,272.8,334.6
lie,8,9,8,8,8,494,621,704,8,8,669,783,277.3,338.9
lie,0,0,0,0,0,493,649,670,0,0,654,733,266.6,333.8
lie,4,4,3,3,4,604,655,746,4,4,638,618,273.9,335.6
lie,8,8,8,8,8,595,668,757,8,8,641,532,270.8,328.6
lie,8,8,8,8,8,471,699,774,8,8,645,9,221.2,321.8
lie,0,0,0,0,0,170,747,860,0,313,232,0,193.5,305.9
lie,4,4,3,3,4,4,711,862,3,591,568,3,230.0,341.9
lie,7,8,8,9,7,8,657,846,8,620,622,8,234.0,338.7
lie,8,8,8,8,8,8,640,848,8,615,639,8,233.8,338.4
lie,0,0,0,0,0,0,698,864,0,576,592,0,227.5,343.1
lie,4,4,3,3,4,3,677,855,4,595,632,3,232.3,343.2
lie,8,8,8,8,7,8,648,849,8,613,646,8,234.9,340.1
lie,8,9,8,9,9,8,689,859,8,611,615,8,236.8,342.7
lie,0,0,0,0,0,0,691,855,0,610,617,0,231.1,346.5
lie,3,4,3,2,4,4,757,882,4,461,471,2,216.4,333.5
lie,8,7,8,8,7,485,821,904,8,15,8,8,190.6,342.6
lie,8,8,9,9,8,600,861,924,9,8,8,8,205.0,363.2
lie,0,0,0,0,0,657,882,898,0,0,0,0,203.1,371.9
lie,5,4,3,361,4,729,882,844,4,4,3,3,237.2,366.5
lie,7,8,8,395,8,820,834,805,8,8,8,8,243.1,364.7
lie,8,8,8,487,9,781,817,788,9,8,8,8,244.9,358.8
lie,0,602,0,574,0,357,754,782,0,0,0,0,255.8,332.3
lie,4,706,768,643,4,5,539,747,5,5,3,2,285.9,352.8
lie,8,701,834,703,8,8,511,515,8,7,8,8,276.6,342.4
lie,8,566,842,755,9,8,537,506,8,8,8,8,271.9,338.0
lie,0,212,768,605,0,274,639,655,0,0,0,0,262.8,314.0
lie,23,48,754,589,23,303,674,670,17,17,22,22,263.5,313.7
lie,21,348,803,620,21,267,638,557,23,22,22,22,280.3,301.3
lie,18,390,797,584,20,297,658,585,18,18,19,19,285.3,304.1
lie,0,411,794,575,0,286,651,573,0,0,0,0,274.2,310.7
lie,10,418,798,597,10,284,651,592,7,7,10,10,282.8,310.9
lie,18,330,788,601,18,288,664,653,18,18,18,18,286.0,310.7
lie,18,378,795,611,18,270,662,642,18,19,19,19,289.1,312.0
lie,0,400,794,602,0,247,653,599,0,0,0,0,274.6,315.4
lie,10,408,793,578,8,272,663,616,8,8,10,10,282.0,311.7
lie,18,447,803,585,18,278,664,579,19,18,18,18,288.8,307.7
lie,18,432,815,603,18,279,662,576,18,18,19,19,289.8,310.0
lie,0,462,808,587,0,246,628,488,0,0,0,0,268.3,307.5
lie,12,468,810,594,12,257,634,510,14,9,12,12,278.7,305.3
lie,15,303,800,517,16,238,564,377,15,15,16,15,240.9,273.2
lie,16,39,775,610,16,313,612,39,17,16,16,16,207.1,291.6
lie,0,9,797,630,0,495,713,0,0,0,0,0,220.3,330.7
lie,8,121,773,52,241,611,634,8,9,9,6,7,206.6,291.8
lie,16,16,829,17,437,653,564,16,16,16,16,16,217.7,309.9
lie,16,16,763,17,571,729,603,17,17,16,17,17,233.3,323.7
lie,0,0,795,0,647,735,601,0,0,0,0,0,231.5,345.0
lie,9,10,737,9,710,757,494,9,9,7,6,8,230.4,334.1
lie,16,16,683,16,755,761,505,16,16,16,16,16,236.0,330.9
lie,17,17,761,17,735,762,519,16,17,17,17,17,242.7,339.1
lie,0,0,771,0,702,757,499,0,0,0,0,0,227.4,342.3
lie,8,8,800,6,668,761,523,5,8,9,7,7,234.2,341.3
lie,16,16,804,16,679,764,534,15,16,16,16,16,242.3,340.3
lie,16,17,800,17,689,765,532,16,16,16,17,16,243.1,340.6
lie,0,0,785,0,698,760,515,0,0,0,0,0,229.8,345.4
lie,8,9,779,6,717,764,515,8,9,9,7,7,236.5,343.7
lie,16,16,783,16,719,766,521,16,16,16,16,16,243.1,341.3
lie,16,17,792,17,704,766,529,16,16,16,17,16,243.5,341.1
lie,0,0,795,0,688,762,525,0,0,0,0,0,230.8,346.7
lie,8,9,800,6,695,781,507,6,9,8,8,6,236.9,346.0
lie,16,16,783,16,672,769,487,16,16,16,17,16,236.7,333.5
lie,16,16,758,17,715,783,514,16,16,16,17,16,241.7,339.0
lie,0,0,678,0,757,803,548,0,0,0,0,0,232.2,347.9
lie,8,9,641,6,778,815,553,8,8,9,7,6,237.3,345.2
lie,16,16,335,16,773,880,681,16,16,16,15,16,233.0,343.6
lie,16,16,16,16,786,896,741,16,16,16,16,16,213.9,359.7
lie,0,0,0,0,746,893,853,0,0,0,0,0,207.7,377.1
lie,8,8,6,6,726,852,898,5,322,9,6,6,237.7,367.5
lie,16,16,16,16,676,710,858,16,674,262,16,16,274.3,346.3
lie,17,16,16,16,651,568,793,16,646,653,16,15,285.3,336.3
lie,0,0,0,0,571,371,714,0,742,746,500,0,303.7,333.6
lie,8,8,7,6,333,43,696,6,762,778,539,5,265.9,333.8
lie,15,16,16,16,15,15,565,15,788,802,569,16,237.3,334.8
lie,16,16,16,16,202,224,736,16,775,787,573,16,282.8,333.5
lie,0,0,0,0,373,373,763,0,788,777,518,0,299.3,340.9
lie,8,8,10,6,431,440,792,5,785,762,481,8,311.3,340.1
lie,15,15,16,15,245,386,783,15,764,768,531,15,297.3,332.8
lie,16,16,16,16,302,402,796,17,769,770,534,16,305.8,335.1
lie,0,0,0,0,395,442,803,0,767,764,511,0,306.8,343.7
lie,8,9,6,6,302,393,762,8,775,769,518,8,297.0,334.2
lie,15,15,15,15,375,405,772,16,789,773,521,16,310.6,335.2
lie,16,17,16,16,413,436,794,16,788,772,511,16,317.6,338.5
lie,0,0,0,0,282,393,777,0,767,768,521,0,292.3,338.7
lie,8,8,6,6,298,399,786,8,771,771,526,8,299.6,337.7
lie,14,15,16,15,332,489,811,16,760,751,510,16,312.1,335.9
lie,16,16,16,16,283,487,820,16,756,742,523,16,308.9,336.0
lie,0,0,0,0,308,497,815,0,754,729,507,0,300.8,340.7
lie,8,8,7,6,371,467,800,5,740,701,484,8,300.4,328.4
lie,15,15,15,15,237,208,838,89,214,720,590,15,247.6,299.6
lie,16,16,16,16,104,358,823,307,223,565,622,16,256.8,282.2
lie,0,0,0,0,0,249,752,622,0,433,621,626,275.3,311.9
lie,8,8,7,6,8,302,695,685,8,8,675,777,265.6,338.0
lie,15,15,16,16,15,172,664,619,15,15,655,814,252.6,327.7
lie,16,16,16,16,16,246,411,765,17,16,663,823,251.8,326.5
lie,0,0,0,0,0,256,432,741,0,0,676,817,243.5,332.2
lie,8,8,9,5,5,384,436,724,8,8,683,816,257.8,329.8
lie,15,15,16,15,15,450,435,702,16,15,674,809,264.8,323.9
lie,16,16,16,16,16,471,437,694,16,16,672,806,266.0,323.1
lie,0,0,0,0,0,432,433,697,0,0,670,805,253.1,328.7
lie,8,8,6,6,8,399,446,723,8,8,678,811,259.1,329.3
lie,16,15,15,16,15,375,453,736,15,15,683,814,264.0,327.8
lie,16,16,16,16,16,386,454,732,16,16,684,814,265.2,327.4
lie,0,0,0,0,0,429,442,714,0,0,676,808,255.8,332.2
lie,8,8,8,6,6,447,444,705,5,8,677,806,260.7,328.5
lie,15,15,15,15,15,446,451,710,15,16,679,809,266.8,326.1
lie,16,16,16,16,16,419,453,721,16,16,682,811,266.5,326.5
lie,0,0,0,0,0,382,446,729,0,0,677,809,253.6,332.7
lie,8,8,9,6,6,349,550,776,5,8,681,700,258.8,327.1
lie,15,15,15,16,15,15,628,851,15,84,604,15,190.7,309.8
lie,16,16,16,14,15,16,718,897,16,594,16,15,195.8,332.4
lie,0,0,0,0,0,0,759,905,0,618,0,0,190.2,349.4
lie,8,8,9,6,5,43,790,918,4,500,8,6,192.1,340.6
lie,15,15,16,15,15,292,816,917,15,498,15,15,220.3,338.3
lie,15,16,15,16,16,416,840,908,16,64,71,15,200.7,334.5
lie,0,0,0,0,0,740,862,913,0,0,0,0,209.6,381.0
lie,6,8,8,8,7,806,882,916,6,4,8,8,222.3,390.1
lie,15,14,15,15,14,782,851,891,15,15,15,15,221.4,374.6
lie,15,16,16,330,16,719,776,823,16,15,16,16,231.2,339.3
lie,0,0,0,606,0,694,678,752,0,0,0,0,227.5,337.5
lie,7,8,461,664,7,647,567,737,8,7,9,5,260.6,319.4
lie,14,14,469,630,14,664,566,754,15,14,14,15,265.3,316.8
lie,15,15,15,353,15,720,766,794,15,16,15,15,229.5,334.4
lie,0,0,0,76,0,752,802,821,0,0,0,0,204.3,355.2
lie,4,7,8,275,5,746,799,808,7,7,7,6,223.3,347.2
lie,14,14,14,204,14,750,800,811,15,13,14,14,223.1,344.6
lie,15,88,14,498,14,449,727,808,14,14,14,15,222.5,308.4
lie,0,552,0,56,0,226,724,808,0,0,0,0,197.2,311.8
lie,4,524,7,5,5,275,712,810,4,7,7,6,197.2,308.5
lie,14,149,14,14,14,388,776,840,14,14,14,14,188.8,309.6
lie,14,401,14,14,15,370,775,833,14,14,14,14,207.7,312.8
lie,0,542,0,252,0,223,712,812,0,0,0,0,211.8,306.8
lie,3,407,8,5,6,357,765,838,7,7,7,6,201.3,315.4
lie,13,308,13,14,14,373,777,841,13,14,14,14,200.7,310.9
lie,14,541,14,256,14,214,730,818,14,14,14,14,221.4,304.4
lie,0,477,0,0,0,326,753,834,0,0,0,0,199.2,319.1
lie,6,339,9,6,4,370,776,840,6,7,7,5,197.9,314.8
lie,13,551,14,371,13,267,685,825,13,13,13,13,232.6,303.7
lie,14,477,15,450,14,304,685,818,14,14,14,14,236.1,300.5
lie,0,0,0,305,0,548,765,803,0,0,0,0,201.8,321.2
lie,7,126,8,434,6,437,704,770,7,8,8,5,210.0,294.6
lie,13,182,13,406,13,436,708,782,13,13,13,13,217.1,291.8
lie,14,14,14,279,14,535,744,794,14,14,14,14,205.3,308.0
lie,0,165,0,295,0,547,761,767,0,0,0,0,211.3,308.3
lie,7,311,8,347,6,511,735,755,8,7,8,5,225.7,298.1
lie,13,166,13,264,13,445,763,790,14,13,13,13,210.0,297.5
lie,14,14,14,14,15,630,776,751,14,14,14,14,190.3,320.5
lie,0,19,0,0,0,759,779,524,0,0,0,0,173.4,315.8
lie,4,8,200,5,412,770,781,5,7,7,7,5,184.3,302.3
lie,13,13,14,13,694,777,760,13,13,13,13,13,195.8,330.9
lie,19,19,18,18,828,842,698,18,18,18,18,17,210.9,350.4
lie,0,0,0,0,852,856,692,0,0,0,0,0,200.0,364.0
lie,12,11,12,8,831,860,721,8,11,12,9,8,208.6,360.4
lie,18,18,19,19,817,854,717,18,19,19,18,18,212.8,353.0
lie,20,20,20,19,775,859,773,19,19,19,20,20,215.3,354.6
lie,0,0,0,0,777,863,774,0,0,0,0,0,201.2,364.6
lie,7,10,11,8,787,866,764,8,8,10,10,7,208.0,361.1
lie,18,18,18,18,818,870,752,18,18,18,18,18,216.8,360.6
lie,19,20,19,19,829,872,745,19,19,19,19,20,218.3,361.1
lie,0,0,0,0,824,866,736,0,0,0,0,0,202.2,366.8
lie,6,10,10,7,817,869,758,7,6,10,11,8,209.9,365.4
lie,18,18,18,18,811,871,774,16,17,18,18,18,217.9,362.9
lie,19,19,19,19,812,871,771,19,19,19,19,19,218.8,362.0
lie,0,0,0,0,817,869,759,0,0,0,0,0,203.8,369.3
lie,9,10,9,7,833,886,777,7,10,11,7,7,214.4,373.1
lie,18,18,18,18,858,908,829,18,17,18,18,18,229.7,383.5
lie,20,18,19,19,827,911,876,19,19,19,19,19,232.1,385.9
lie,0,0,0,0,790,882,881,0,0,0,0,0,212.8,385.5
lie,10,10,8,8,752,792,828,7,350,431,8,6,267.5,347.5
lie,17,18,19,18,586,528,698,18,600,742,568,18,319.2,319.4
lie,19,19,19,19,570,203,496,19,671,784,588,19,285.5,308.5
lie,0,0,0,0,0,0,0,0,836,832,450,0,176.5,333.0
lie,10,10,8,7,400,215,367,6,838,801,412,10,257.0,310.8
lie,17,18,17,17,219,211,558,18,846,813,539,18,274.3,326.2
lie,19,19,19,19,296,225,656,18,839,811,557,19,291.4,333.5
lie,0,0,0,0,0,197,628,0,833,809,565,0,252.7,348.3
lie,9,10,11,7,275,211,625,7,843,813,563,6,281.7,336.8
lie,17,18,18,18,356,219,595,18,847,814,548,18,290.5,330.0
lie,19,19,18,19,352,217,517,19,851,816,547,19,284.4,324.6
lie,0,0,0,0,339,193,566,0,847,812,538,0,274.6,334.9
lie,10,10,11,7,338,205,618,7,847,817,567,6,286.9,338.1
lie,17,18,18,18,295,205,626,18,848,819,578,18,289.8,335.6
lie,19,19,19,19,332,208,619,19,850,833,580,19,294.7,337.1
lie,0,0,0,0,480,218,748,0,836,780,581,0,303.6,353.7
lie,7,10,10,8,662,519,823,7,837,708,47,7,303.8,367.1
lie,17,18,19,18,674,762,865,18,836,48,18,18,275.9,378.2
lie,19,19,19,19,805,895,736,19,686,19,19,19,272.8,377.9
lie,0,0,0,0,804,893,694,0,684,0,0,0,256.3,382.0
lie,7,10,10,11,857,891,618,8,368,10,10,7,233.9,355.4
lie,18,18,18,17,912,902,756,18,18,18,18,18,227.6,381.2
lie,18,19,19,20,895,876,732,19,19,19,19,19,222.8,370.7
lie,522,0,0,0,826,823,675,0,0,0,0,0,237.2,358.4
lie,613,267,164,7,755,788,525,9,10,10,7,7,263.5,317.3
lie,516,571,744,17,647,681,255,18,18,18,18,18,293.4,310.7
lie,344,514,666,19,658,700,255,19,19,19,19,19,270.9,291.6
lie,0,185,268,0,790,787,432,0,0,0,0,0,205.2,306.2
lie,383,49,309,7,788,761,279,6,9,10,7,7,217.9,294.3
lie,500,241,385,18,769,743,239,18,18,18,18,18,248.8,288.6
lie,363,19,258,19,795,769,314,19,18,19,19,19,219.3,293.3
lie,382,247,446,0,770,759,286,0,0,0,0,0,240.8,295.5
lie,456,382,594,7,752,752,283,9,10,10,7,7,272.4,305.7
lie,323,276,465,18,771,775,330,18,18,18,18,18,254.0,290.5
lie,19,428,590,19,736,764,320,19,18,19,18,19,247.4,305.5
lie,490,295,463,0,755,742,169,0,0,0,0,0,242.8,298.9
lie,9,55,408,7,783,815,337,8,10,10,11,8,205.1,309.9
lie,17,87,624,18,633,787,400,18,18,18,18,18,221.3,300.2
lie,289,397,504,19,641,745,319,19,19,19,19,19,250.8,271.4
lie,503,256,0,0,202,753,527,0,0,0,0,0,186.8,267.2
lie,469,10,11,7,186,755,702,7,9,10,11,7,182.0,289.3
lie,17,17,18,18,18,725,811,333,18,18,18,17,169.0,294.5
lie,19,19,19,19,19,732,805,712,19,19,18,19,201.6,331.2
lie,0,0,0,0,0,629,800,845,0,0,0,0,189.5,346.2
lie,6,10,10,7,7,565,793,877,8,10,10,7,192.5,340.2
lie,18,18,18,17,18,338,824,891,18,18,18,17,184.4,327.8
lie,18,19,19,20,19,19,780,918,19,19,19,20,157.4,324.4
lie,0,0,0,0,0,299,805,902,0,0,0,0,167.2,332.4
lie,7,10,10,7,8,568,803,884,7,10,10,7,194.3,343.3
lie,18,18,18,18,18,688,822,878,18,18,17,18,212.4,354.4
lie,18,19,19,19,19,733,802,870,20,19,19,19,214.7,355.2
lie,0,0,0,0,0,701,797,872,0,0,0,0,197.5,359.2
lie,7,10,10,8,7,645,814,889,7,10,10,7,202.0,354.2
lie,18,18,18,18,18,558,813,902,18,18,18,18,202.9,343.1
lie,19,19,19,18,19,566,818,901,20,19,19,20,204.8,344.0
lie,0,0,0,0,0,658,820,888,0,0,0,0,197.2,360.2
lie,7,7,10,10,8,707,826,879,8,7,10,10,207.4,361.7
lie,18,18,18,18,17,714,822,877,18,18,18,17,214.4,357.5
lie,19,19,19,19,19,701,820,887,18,20,19,19,214.9,356.7
lie,0,0,0,0,0,628,814,896,0,0,0,0,194.8,357.3
lie,7,9,10,11,7,606,816,898,7,9,9,10,199.9,351.7
lie,17,18,18,18,18,638,822,895,18,18,18,18,209.7,351.5
lie,19,19,19,20,19,709,840,907,19,19,19,19,219.0,364.2
lie,0,0,0,0,0,770,883,892,0,0,0,0,212.1,384.8
lie,7,9,10,11,7,740,898,924,7,9,9,11,220.2,384.6
lie,18,18,18,18,18,673,881,928,18,18,18,17,220.3,370.6
lie,19,19,20,19,19,657,851,934,19,19,125,19,226.7,360.6
lie,0,0,0,0,0,592,766,868,0,0,317,787,277.5,367.6
lie,7,8,10,10,8,663,687,759,8,8,616,837,301.8,366.2
lie,18,18,18,17,17,502,667,609,18,18,670,844,284.7,338.3
lie,19,19,19,19,19,20,663,666,20,19,682,844,250.8,345.0
lie,0,0,0,0,0,0,541,580,0,0,681,839,220.1,332.4
lie,7,6,10,10,7,7,432,256,7,204,774,842,213.5,309.7
lie,18,18,18,18,18,19,457,638,18,144,765,843,247.8,330.0
lie,19,19,19,19,19,20,568,711,20,294,737,827,272.7,337.4
lie,0,0,0,0,0,0,539,719,0,280,740,826,258.7,345.5
lie,7,9,11,10,7,8,552,727,7,298,742,828,267.2,344.1
lie,18,18,18,18,18,18,565,732,18,336,742,828,277.4,341.5
lie,19,20,19,19,20,20,548,729,19,336,744,830,276.9,339.7
lie,0,0,0,0,0,0,548,728,0,328,737,824,263.8,347.1
lie,12,7,7,10,10,8,550,732,10,325,742,827,270.0,344.3
lie,18,18,18,18,18,18,537,733,18,328,744,830,274.8,340.0
lie,19,19,19,20,19,19,545,737,19,337,744,829,277.2,340.5
lie,0,0,0,0,0,0,534,726,0,322,738,825,262.1,346.0
lie,8,8,6,10,10,8,535,729,11,362,742,827,271.3,343.8
lie,17,18,18,18,18,18,545,735,18,359,744,828,278.0,341.1
lie,19,19,19,19,19,20,526,737,19,354,749,831,277.6,340.4
lie,0,0,0,0,0,0,468,696,0,348,753,836,258.4,342.3
lie,8,7,6,10,10,8,652,701,11,382,726,840,280.1,350.9
lie,18,18,18,18,18,17,658,712,18,610,735,820,305.0,358.1
lie,19,19,20,19,19,19,702,618,20,650,737,660,291.8,338.0
lie,0,0,0,0,0,0,735,483,0,730,711,612,272.6,343.1
lie,10,7,10,10,227,7,774,10,353,763,683,349,266.9,315.0
lie,18,18,18,18,352,178,794,18,616,801,665,18,292.8,333.3
lie,19,20,19,19,564,334,603,19,697,803,612,19,310.7,322.3
lie,0,0,0,0,652,343,424,0,713,807,636,0,297.9,333.2
lie,7,7,9,10,678,405,445,10,768,815,579,11,312.0,336.2
lie,18,18,18,18,704,516,334,18,661,808,532,18,305.3,320.5
lie,19,19,19,19,734,517,261,19,726,809,426,20,299.0,325.7
lie,0,0,0,0,744,485,82,0,766,806,0,0,240.3,348.9
